date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:24	16505/16505	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jan%202024%2020:29:22%20GMT	https://business.genuiny.com/register/index?referralCode=	C:/Users/bened/Downloads/INGLESE%20SUB/business.genuiny.com/register/index5be3.html	(from )
21:29:25	103/103	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jan%202024%2020:29:23%20GMT	https://business.genuiny.com/robots.txt		(from )
21:29:25	166723/166723	---M-Z	200	added ('OK')	text/css	etag:%2236479c64e39cd81:0%22	https://business.genuiny.com/Content/bootstrap.css	C:/Users/bened/Downloads/INGLESE%20SUB/business.genuiny.com/Content/bootstrap.css	(from https://business.genuiny.com/register/index?referralCode=)
21:29:25	580/580	---M-Z	200	added ('OK')	text/css	etag:%2227f99b64e39cd81:0%22	https://business.genuiny.com/Content/site.css	C:/Users/bened/Downloads/INGLESE%20SUB/business.genuiny.com/Content/site.css	(from https://business.genuiny.com/register/index?referralCode=)
21:29:26	217660/217660	---MCZ	200	added ('OK')	text/css	etag:W/%22b125d71a02a273796315977e7e7d43e0%22	https://cdn3.devexpress.com/jslib/20.1.8/css/dx.common.css	C:/Users/bened/Downloads/INGLESE%20SUB/cdn3.devexpress.com/jslib/20.1.8/css/dx.common.css	(from https://business.genuiny.com/register/index?referralCode=)
21:29:26	563066/563066	---MCZ	200	added ('OK')	text/css	etag:W/%22cba0cabc4aef797faec9ba1e42519882%22	https://cdn3.devexpress.com/jslib/20.1.8/css/dx.light.css	C:/Users/bened/Downloads/INGLESE%20SUB/cdn3.devexpress.com/jslib/20.1.8/css/dx.light.css	(from https://business.genuiny.com/register/index?referralCode=)
21:29:27	15196/15196	---M-Z	200	added ('OK')	text/css	etag:%225eb03fcb-3b5c%22	https://cdnjs.cloudflare.com/ajax/libs/select2/4.0.5/css/select2.min.css	C:/Users/bened/Downloads/INGLESE%20SUB/cdnjs.cloudflare.com/ajax/libs/select2/4.0.5/css/select2.min.css	(from https://business.genuiny.com/register/index?referralCode=)
21:29:27	3666/3666	---M--	200	added ('OK')	image/png	etag:%2274e39c64e39cd81:0%22	https://business.genuiny.com/Content/logo_HD_cropped_white.png	C:/Users/bened/Downloads/INGLESE%20SUB/business.genuiny.com/Content/logo_HD_cropped_white.png	(from https://business.genuiny.com/register/index?referralCode=)
21:29:27	6601/6601	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jan%202024%2020:29:26%20GMT	https://business.genuiny.com/register/success	C:/Users/bened/Downloads/INGLESE%20SUB/business.genuiny.com/register/success.html	(from https://business.genuiny.com/register/index?referralCode=)
21:29:28	16611/16611	---M-Z	200	added ('OK')	text/css	etag:%2212a008f-40e3-6097a9c44b6c8-gzip%22	https://cdn.datatables.net/1.11.4/css/jquery.dataTables.css	C:/Users/bened/Downloads/INGLESE%20SUB/cdn.datatables.net/1.11.4/css/jquery.dataTables.css	(from https://business.genuiny.com/register/index?referralCode=)
